Date, Open, High, Low, Close
06/09/23, 18655.90, 18676.65, 18555.40, 18563.40
06/08/23, 18725.35, 18777.90, 18615.60, 18634.55
06/07/23, 18665.60, 18738.95, 18636.00, 18726.40
06/06/23, 18600.80, 18622.75, 18531.60, 18599.00
06/05/23, 18612.00, 18640.15, 18582.80, 18593.85
06/02/23, 18550.85, 18573.70, 18478.40, 18534.10
06/01/23, 18579.40, 18580.30, 18464.55, 18487.75
05/31/23, 18594.20, 18603.90, 18483.85, 18534.40
05/30/23, 18606.65, 18662.45, 18575.50, 18633.85
05/29/23, 18619.15, 18641.20, 18581.25, 18598.65
05/26/23, 18368.35, 18508.55, 18333.15, 18499.35
05/25/23, 18268.90, 18338.10, 18202.40, 18321.15
05/24/23, 18294.80, 18392.60, 18262.95, 18285.40
05/23/23, 18362.90, 18419.75, 18324.20, 18348.00
05/22/23, 18201.10, 18335.25, 18178.85, 18314.40
05/19/23, 18186.15, 18218.10, 18060.40, 18203.40
05/18/23, 18287.50, 18297.20, 18104.85, 18129.95
05/17/23, 18300.45, 18309.00, 18115.35, 18181.75
05/16/23, 18432.35, 18432.35, 18264.35, 18286.50
05/15/23, 18339.30, 18458.90, 18287.90, 18398.85
05/12/23, 18273.75, 18342.75, 18194.55, 18314.80
05/11/23, 18357.80, 18389.70, 18270.40, 18297.00
05/10/23, 18313.60, 18326.75, 18211.95, 18315.10
05/09/23, 18303.40, 18344.20, 18229.65, 18265.95
05/08/23, 18120.60, 18286.95, 18100.30, 18264.40
05/05/23, 18117.30, 18216.95, 18055.45, 18069.00
05/04/23, 18081.00, 18267.45, 18066.70, 18255.80
05/03/23, 18113.80, 18116.35, 18042.40, 18089.85
05/02/23, 18124.80, 18180.25, 18101.75, 18147.65
04/28/23, 17950.40, 18089.15, 17885.30, 18065.00
04/27/23, 17813.10, 17931.60, 17797.90, 17915.05
04/26/23, 17767.30, 17827.75, 17711.20, 17813.60
04/25/23, 17761.55, 17807.45, 17716.85, 17769.25
04/24/23, 17707.55, 17754.50, 17612.50, 17743.40
04/21/23, 17639.75, 17663.20, 17553.95, 17624.05
04/20/23, 17638.60, 17684.45, 17584.35, 17624.45
04/19/23, 17653.35, 17666.15, 17579.85, 17618.75
04/18/23, 17766.60, 17766.60, 17610.20, 17660.15
04/17/23, 17863.00, 17863.00, 17574.05, 17706.85
04/13/23, 17807.30, 17842.15, 17729.65, 17828.00
04/12/23, 17759.55, 17825.75, 17717.25, 17812.40
04/11/23, 17704.80, 17748.75, 17655.15, 17722.30
04/10/23, 17634.90, 17694.10, 17597.95, 17624.05
04/06/23, 17533.85, 17638.70, 17502.85, 17599.15
04/05/23, 17422.30, 17570.55, 17402.70, 17557.05
04/03/23, 17427.95, 17428.05, 17312.75, 17398.05
03/31/23, 17210.35, 17381.60, 17204.65, 17359.75
03/29/23, 16977.30, 17126.15, 16940.60, 17080.70
03/28/23, 17031.75, 17061.75, 16913.75, 16951.70
03/27/23, 16984.30, 17091.00, 16918.55, 16985.70
03/24/23, 17076.20, 17109.45, 16917.35, 16945.05
03/23/23, 17177.45, 17205.40, 17045.30, 17076.90
03/22/23, 17177.45, 17207.25, 17107.85, 17151.90
03/21/23, 17060.40, 17127.70, 17016.00, 17107.50
03/20/23, 17066.60, 17066.60, 16828.35, 16988.40
03/17/23, 17111.80, 17145.80, 16958.15, 17100.05
03/16/23, 16994.65, 17062.45, 16850.15, 16985.60
03/15/23, 17166.45, 17211.35, 16938.90, 16972.15
03/14/23, 17421.90, 17224.65, 16987.10, 17043.30
03/13/23, 17421.90, 17529.90, 17113.45, 17154.30
03/10/23, 17443.80, 17451.50, 17324.35, 17412.90
03/09/23, 17772.05, 17772.35, 17573.60, 17589.60
03/08/23, 17665.75, 17766.50, 17602.25, 17754.40
03/06/23, 17680.35, 17799.95, 17671.95, 17711.45
03/03/23, 17451.25, 17644.75, 17427.70, 17594.35
03/02/23, 17421.50, 17445.80, 17306.00, 17321.90
03/01/23, 17360.10, 17467.75, 17345.25, 17450.90
02/28/23, 17383.25, 17440.45, 17255.20, 17303.95
02/27/23, 17428.60, 17451.60, 17299.00, 17392.70
02/24/23, 17591.35, 17599.75, 17421.80, 17465.80
